"","start","end","length_time","correlation","rsquared","p_value","Sing_level"
"80003700","1999-05-01","2007-05-01","49","-0.1827","0.0334","0.20895"," "
"80003700","2008-05-01","2016-10-01","54","0.2594","0.0673","0.05825","."
"","","","","","","",""
"29018400","1995-05-01","2010-07-01","93","0.2597","0.0674","0.011958","*"
"","","","","","","",""
"73012800","2001-07-01","2011-07-01","61","0.3292","0.1084","0.00957","**"
"73012800","2013-05-01","2016-05-01","19","0.4428","0.1961","0.057596","."
"","","","","","","",""
"47002300","1992-05-01","1996-10-01","30","0.4893","0.2394","0.006071","**"
"47002300","2009-07-01","2012-08-01","20","0.2542","0.0646","0.279533"," "
"47002300","2012-10-01","2016-10-01","25","0.5955","0.3546","0.001687","**"
"","","","","","","",""
"18040900","1990-09-01","1993-09-01","19","0.6083","0.37","0.005721","**"
"18040900","1994-05-01","1997-09-01","23","-0.1156","0.0134","0.599317"," "
"18040900","1998-05-01","2001-09-01","23","0.5043","0.2543","0.014143","*"
"","","","","","","",""
"18025600","1990-05-01","1995-08-01","34","0.3832","0.1469","0.025269","*"
"18025600","1996-05-01","2001-09-01","35","0.2351","0.0553","0.174043"," "
"18025600","2002-05-01","2009-09-01","47","0.1518","0.023","0.308555"," "
"18025600","2011-05-01","2017-10-01","42","0.0962","0.0093","0.544564"," "
"","","","","","","",""
"86014600","2004-05-01","2009-10-01","36","0.0325","0.0011","0.850643"," "
"","","","","","","",""
"18018400","1998-05-01","2006-10-01","54","0.3292","0.1084","0.01508","*"
"18018400","2007-06-01","2017-08-01","63","0.4376","0.1915","0.000336","***"
"","","","","","","",""
"10004100","2001-05-01","2004-10-01","24","0.1491","0.0222","0.48671"," "
"","","","","","","",""
"40003300","1994-05-01","2004-08-01","64","0.6468","0.4184","0","***"
"40003300","2005-05-01","2011-09-01","41","0.2722","0.0741","0.085122","."
"","","","","","","",""
"27011700","1990-05-01","2017-10-01","168","0.3373","0.1138","8e-06","***"
"","","","","","","",""
"31039900","2002-05-01","2008-07-01","39","0.0871","0.0076","0.5981"," "
"31039900","2008-10-01","2012-08-01","23","0.2378","0.0565","0.274599"," "
"31039900","2014-05-01","2017-05-01","19","0.1933","0.0374","0.427932"," "
"","","","","","","",""
"1005700","2004-10-01","2017-08-01","77","0.3634","0.1321","0.001159","**"
"","","","","","","",""
"1004500","1993-05-01","2005-09-01","77","0.2037","0.0415","0.075602","."
"","","","","","","",""
"2007200","1992-06-01","1996-08-01","27","0.4626","0.214","0.015116","*"
"2007200","1997-05-01","2000-05-01","19","0.3993","0.1594","0.090351","."
"2007200","2007-08-01","2014-09-01","44","0.0444","0.002","0.774934"," "
"","","","","","","",""
"1003400","1993-05-01","1997-05-01","25","0.2622","0.0687","0.205472"," "
"1003400","1999-07-01","2003-05-01","23","0.3036","0.0922","0.159008"," "
"1003400","2008-07-01","2011-10-01","22","0.264","0.0697","0.235226"," "
"","","","","","","",""
"2005200","1990-05-01","2017-10-01","168","0.1139","0.013","0.141584"," "
"","","","","","","",""
"82016600","2002-05-01","2012-09-01","65","0.5819","0.3386","0","***"
"","","","","","","",""
"82014000","2006-05-01","2010-09-01","29","-0.2291","0.0525","0.231965"," "
"","","","","","","",""
"82013800","1998-05-01","2001-08-01","22","0.437","0.191","0.041971","*"
"82013800","2005-05-01","2009-08-01","28","0.0425","0.0018","0.830006"," "
"","","","","","","",""
"82015500","1998-05-01","2003-09-01","35","0.523","0.2735","0.001268","**"
"82015500","2005-05-01","2015-07-01","63","0.0118","1e-04","0.927048"," "
"","","","","","","",""
"82015100","1996-05-01","2001-05-01","31","0.0981","0.0096","0.599565"," "
"","","","","","","",""
"82002300","1996-05-01","2013-10-01","108","0.4035","0.1628","1.5e-05","***"
"","","","","","","",""
"82006800","1998-05-01","2001-06-01","20","0.3809","0.1451","0.097514","."
"82006800","2001-08-01","2012-08-01","67","0.0433","0.0019","0.728002"," "
"","","","","","","",""
"82004800","1997-05-01","2004-09-01","47","0.4284","0.1835","0.002662","**"
"","","","","","","",""
"69065100","1991-05-01","1996-09-01","35","0.069","0.0048","0.693503"," "
"69065100","2003-08-01","2008-05-01","28","0.069","0.0048","0.727279"," "
"","","","","","","",""
"26000200","2007-05-01","2010-09-01","23","-0.23","0.0529","0.291132"," "
"","","","","","","",""
"3023400","2006-05-01","2009-09-01","23","0.2052","0.0421","0.34768"," "
"3023400","2011-06-01","2015-05-01","24","0.4234","0.1793","0.039236","*"
"","","","","","","",""
"21014500","1997-05-01","2000-09-01","23","0.1683","0.0283","0.442783"," "
